t,periodic_func
712,9.424777960795332
713,9.424777960764205
714,9.424777960775934
715,9.424777960787665
716,9.424777960756538
717,9.424777960768267
718,9.424777960779998
719,9.42477796079173
720,9.4247779607606
721,9.424777960772332
722,9.424777960784064
723,9.424777960795794
724,9.424777960764665
725,9.424777960776396
726,9.424777960788129
727,9.424777960756998
728,9.42477796076873
729,9.42477796078046
730,9.424777960792191
731,9.424777960761062
732,9.424777960772795
733,9.424777960784525
734,9.424777960796256
735,9.424777960765127
736,9.42477796077686
737,9.424777960788589
738,9.424777960757462
739,9.424777960769193
740,9.424777960780922
741,9.424777960792653
742,9.424777960761526
743,9.424777960773255
744,9.424777960784986
745,9.424777960796716
746,9.424777960765589
747,9.42477796077732
748,9.42477796078905
749,9.424777960757924
750,9.424777960769653
751,9.424777960781384
752,9.424777960793115
753,9.424777960761986
754,9.424777960773717
755,9.42477796078545
756,9.42477796079718
757,9.42477796076605
758,9.424777960777782
759,9.424777960789513
760,9.424777960758384
761,9.424777960770117
762,9.424777960781846
763,9.424777960793577
764,9.424777960762448
765,9.42477796077418
766,9.42477796078591
767,9.424777960797641
768,9.424777960766512
769,9.424777960778243
770,9.424777960789974
771,9.424777960758847
772,9.424777960770577
773,9.424777960782308
774,9.424777960794039
775,9.424777960762912
776,9.424777960774641
777,9.424777960786372
778,9.424777960798101
779,9.424777960766974
780,9.424777960778705
781,9.424777960790436
782,9.424777960759307
783,9.424777960771038
784,9.424777960782768
785,9.4247779607945
786,9.424777960763372
787,9.424777960775103
788,9.424777960786836
789,9.424777960798565
790,9.424777960767436
791,9.424777960779167
792,9.424777960790898
793,9.42477796075977
794,9.424777960771502
795,9.424777960783231
796,9.424777960794962
797,9.424777960763834
798,9.424777960775565
799,9.424777960787296
800,9.424777960799027
801,9.424777960767898
802,9.424777960779629
803,9.42477796079136
804,9.424777960760233
805,9.424777960771962
806,9.424777960783693
807,9.424777960795423
808,9.424777960764295
809,9.424777960776026
810,9.424777960787758
811,9.424777960799487
812,9.42477796076836
813,9.42477796078009
814,9.424777960791822
815,9.424777960760693
816,9.424777960772424
817,9.424777960784157
818,9.424777960795886
819,9.424777960764757
820,9.424777960776488
821,9.42477796078822
822,9.42477796079995
823,9.424777960768822
824,9.424777960780553
825,9.424777960792284
826,9.424777960761155
827,9.424777960772886
828,9.424777960784617
829,9.424777960796348
830,9.42477796076522
831,9.42477796077695
832,9.424777960788681
833,9.424777960757552
834,9.424777960769283
835,9.424777960781014
836,9.424777960792744
837,9.424777960761617
838,9.424777960773348
839,9.424777960785079
840,9.424777960796808
841,9.424777960765681
842,9.424777960777412
843,9.424777960789143
844,9.424777960758014
845,9.424777960769745
846,9.424777960781475
847,9.424777960793207
848,9.424777960762079
849,9.42477796077381
850,9.42477796078554
851,9.424777960797272
852,9.424777960766143
853,9.424777960777874
854,9.424777960789605
855,9.424777960758476
856,9.424777960770209
857,9.424777960781938
858,9.42477796079367
859,9.42477796076254
860,9.424777960774271
861,9.424777960786002
862,9.424777960797734
